Test Case ID,Test Items,Pre-condition,Test Data,Test Steps,Expected results,A result
TC-CHN-001,Trả về rỗng khi thiếu dữ liệu kênh,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để trả về rỗng khi thiếu dữ liệu kênh.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống trả về rỗng khi thiếu dữ liệu kênh. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > returns undefined for missing inputs.,Hệ thống trả về rỗng khi thiếu dữ liệu kênh đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-002,Ưu tiên capability theo account,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để ưu tiên capability theo account.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống ưu tiên capability theo account. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > normalizes and prefers per-account capabilities.,Hệ thống ưu tiên capability theo account đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-003,Fallback sang capability theo provider,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để fallback sang capability theo provider.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống fallback sang capability theo provider. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > falls back to provider capabilities when account capabilities are missing.,Hệ thống fallback sang capability theo provider đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-004,Khớp account key không phân biệt hoa thường,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để khớp account key không phân biệt hoa thường.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống khớp account key không phân biệt hoa thường. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > matches account keys case-insensitively.,Hệ thống khớp account key không phân biệt hoa thường đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-005,Hỗ trợ capability cho Microsoft Teams,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để hỗ trợ capability cho Microsoft Teams.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống hỗ trợ capability cho Microsoft Teams. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > supports msteams capabilities.,Hệ thống hỗ trợ capability cho Microsoft Teams đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-006,Hỗ trợ capability dạng object,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để hỗ trợ capability dạng object.","1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống hỗ trợ capability dạng object. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > handles object-format capabilities gracefully (e.g., { inlineButtons: 'dm' }).",Hệ thống hỗ trợ capability dạng object đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-CHN-007,Hỗ trợ capability dạng object của Slack,Có cấu hình capability ở cấp account hoặc provider cho kênh truyền thông.,"channel id, account capability và provider capability dùng để hỗ trợ capability dạng object của Slack.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống hỗ trợ capability dạng object của Slack. Minh chứng Vitest: src/config/channel-capabilities.test.ts - resolveChannelCapabilities > handles Slack object-format capabilities gracefully.,Hệ thống hỗ trợ capability dạng object của Slack đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-001,Chuyển trường provider cũ sang channel trong payload,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuyển trường provider cũ sang channel trong payload.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuyển trường provider cũ sang channel trong payload. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > maps legacy payload.provider to payload.channel and strips provider.,Hệ thống chuyển trường provider cũ sang channel trong payload đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-002,Chuẩn hóa agentId,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa agentId.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa agentId. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > trims agentId and drops null.,Hệ thống chuẩn hóa agentId đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-003,Chuẩn hóa sessionKey,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa sessionKey.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa sessionKey. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > trims sessionKey and drops blanks.,Hệ thống chuẩn hóa sessionKey đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-004,Chuẩn hóa payload.channel,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa payload.channel.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa payload.channel. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > canonicalizes payload.channel casing.,Hệ thống chuẩn hóa payload.channel đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SCH-005,Chuẩn hóa thời điểm chạy schedule.at,Module lập lịch có hàm chuẩn hóa cấu hình tạo/cập nhật tác vụ định kỳ.,Payload cron job chứa dữ liệu để chuẩn hóa thời điểm chạy schedule.at.,1. Chuẩn bị payload cấu hình theo dữ liệu test. 2. Gọi hàm chuẩn hóa tương ứng. 3. Kiểm tra output để xác nhận hệ thống chuẩn hóa thời điểm chạy schedule.at. Minh chứng Vitest: src/cron/normalize.test.ts - normalizeCronJobCreate > coerces ISO schedule.at to normalized ISO (UTC).,Hệ thống chuẩn hóa thời điểm chạy schedule.at đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
